,Topic
11169,Acute Myocardial Infarction (Heart Attack)
8092,Diseases of the Heart (Heart Disease)
1941,Major Cardiovascular Disease
37818,Heart Failure
28339,Heart Failure
449,Major Cardiovascular Disease
2951,Major Cardiovascular Disease
33118,Heart Failure
4239,Major Cardiovascular Disease
39324,Stroke
35032,Heart Failure
6463,Diseases of the Heart (Heart Disease)
4271,Major Cardiovascular Disease
25199,Heart Failure
40151,Stroke
39756,Stroke
33655,Heart Failure
4267,Major Cardiovascular Disease
29598,Heart Failure
36571,Heart Failure
40900,Stroke
32146,Heart Failure
21624,Heart Failure
18574,Heart Failure
7754,Diseases of the Heart (Heart Disease)
5419,Diseases of the Heart (Heart Disease)
780,Major Cardiovascular Disease
225,Major Cardiovascular Disease
24436,Heart Failure
26664,Heart Failure
38499,Stroke
42539,Stroke
30966,Heart Failure
35680,Heart Failure
3795,Major Cardiovascular Disease
28525,Heart Failure
38181,Heart Failure
30953,Heart Failure
12252,Acute Myocardial Infarction (Heart Attack)
3291,Major Cardiovascular Disease
15365,Coronary Heart Disease
42093,Stroke
1804,Major Cardiovascular Disease
37051,Stroke
23008,Heart Failure
36944,Heart Failure
13739,Coronary Heart Disease
1015,Major Cardiovascular Disease
17184,Coronary Heart Disease
10681,Diseases of the Heart (Heart Disease)
18396,Heart Failure
21289,Heart Failure
23115,Heart Failure
752,Major Cardiovascular Disease
34343,Heart Failure
29440,Heart Failure
7511,Diseases of the Heart (Heart Disease)
17624,Coronary Heart Disease
3705,Major Cardiovascular Disease
12262,Acute Myocardial Infarction (Heart Attack)
36173,Heart Failure
32016,Heart Failure
27028,Heart Failure
40591,Stroke
18432,Coronary Heart Disease
41133,Stroke
2804,Major Cardiovascular Disease
36926,Heart Failure
41899,Stroke
32924,Heart Failure
25529,Heart Failure
38873,Stroke
29502,Heart Failure
2092,Major Cardiovascular Disease
21529,Heart Failure
32537,Heart Failure
31151,Heart Failure
21129,Heart Failure
21704,Heart Failure
24105,Heart Failure
35819,Heart Failure
32602,Heart Failure
448,Major Cardiovascular Disease
4483,Diseases of the Heart (Heart Disease)
7267,Diseases of the Heart (Heart Disease)
7735,Diseases of the Heart (Heart Disease)
37577,Heart Failure
20960,Heart Failure
23094,Heart Failure
22699,Heart Failure
36200,Heart Failure
36248,Heart Failure
21654,Heart Failure
29185,Heart Failure
16944,Coronary Heart Disease
28395,Heart Failure
21581,Heart Failure
18466,Coronary Heart Disease
25337,Heart Failure
9334,Diseases of the Heart (Heart Disease)
21699,Heart Failure
22746,Heart Failure
26010,Heart Failure
42044,Stroke
20320,Heart Failure
35998,Heart Failure
37634,Heart Failure
29783,Heart Failure
10048,Acute Myocardial Infarction (Heart Attack)
10592,Diseases of the Heart (Heart Disease)
18393,Coronary Heart Disease
358,Major Cardiovascular Disease
39715,Stroke
11649,Acute Myocardial Infarction (Heart Attack)
15581,Heart Failure
39761,Stroke
4532,Diseases of the Heart (Heart Disease)
12983,Acute Myocardial Infarction (Heart Attack)
35888,Heart Failure
6499,Diseases of the Heart (Heart Disease)
34002,Heart Failure
40425,Stroke
3628,Major Cardiovascular Disease
41813,Stroke
12101,Acute Myocardial Infarction (Heart Attack)
36824,Heart Failure
20055,Heart Failure
37734,Stroke
6843,Diseases of the Heart (Heart Disease)
14461,Coronary Heart Disease
1574,Major Cardiovascular Disease
34397,Heart Failure
3645,Major Cardiovascular Disease
5014,Diseases of the Heart (Heart Disease)
20561,Heart Failure
42079,Stroke
5137,Diseases of the Heart (Heart Disease)
14135,Coronary Heart Disease
21752,Heart Failure
11155,Acute Myocardial Infarction (Heart Attack)
11729,Acute Myocardial Infarction (Heart Attack)
34524,Heart Failure
31767,Heart Failure
21102,Heart Failure
16252,Coronary Heart Disease
13842,Acute Myocardial Infarction (Heart Attack)
32932,Heart Failure
14302,Coronary Heart Disease
27483,Heart Failure
7522,Diseases of the Heart (Heart Disease)
9494,Diseases of the Heart (Heart Disease)
26042,Heart Failure
14212,Coronary Heart Disease
19207,Heart Failure
29054,Heart Failure
9661,Acute Myocardial Infarction (Heart Attack)
13111,Acute Myocardial Infarction (Heart Attack)
23351,Heart Failure
26522,Heart Failure
907,Major Cardiovascular Disease
19796,Heart Failure
1439,Major Cardiovascular Disease
22588,Heart Failure
30862,Heart Failure
30965,Heart Failure
40190,Stroke
32600,Heart Failure
34363,Heart Failure
23480,Heart Failure
12689,Acute Myocardial Infarction (Heart Attack)
15628,Coronary Heart Disease
30012,Heart Failure
39586,Stroke
33711,Heart Failure
7553,Diseases of the Heart (Heart Disease)
14457,Coronary Heart Disease
23277,Heart Failure
3501,Major Cardiovascular Disease
26090,Heart Failure
4020,Major Cardiovascular Disease
12123,Acute Myocardial Infarction (Heart Attack)
14540,Coronary Heart Disease
38597,Stroke
3143,Major Cardiovascular Disease
15839,Coronary Heart Disease
1166,Major Cardiovascular Disease
37851,Heart Failure
29499,Heart Failure
39465,Stroke
16343,Coronary Heart Disease
23122,Heart Failure
7370,Diseases of the Heart (Heart Disease)
35715,Heart Failure
18406,Heart Failure
15452,Coronary Heart Disease
6172,Diseases of the Heart (Heart Disease)
22869,Heart Failure
41489,Stroke
16803,Coronary Heart Disease
39308,Stroke
18032,Heart Failure
10176,Acute Myocardial Infarction (Heart Attack)
40197,Stroke
16396,Coronary Heart Disease
24794,Heart Failure
1860,Major Cardiovascular Disease
18755,Heart Failure
14999,Coronary Heart Disease
21410,Heart Failure
41539,Stroke
41972,Stroke
7694,Diseases of the Heart (Heart Disease)
9561,Acute Myocardial Infarction (Heart Attack)
18379,Heart Failure
2791,Major Cardiovascular Disease
29819,Heart Failure
30656,Heart Failure
15723,Coronary Heart Disease
34650,Heart Failure
10378,Acute Myocardial Infarction (Heart Attack)
33329,Heart Failure
29196,Heart Failure
5803,Diseases of the Heart (Heart Disease)
11087,Acute Myocardial Infarction (Heart Attack)
41491,Stroke
5121,Diseases of the Heart (Heart Disease)
27448,Heart Failure
30107,Heart Failure
7898,Diseases of the Heart (Heart Disease)
27970,Heart Failure
13467,Coronary Heart Disease
27395,Heart Failure
6577,Diseases of the Heart (Heart Disease)
27842,Heart Failure
40146,Stroke
38570,Stroke
21340,Heart Failure
2489,Major Cardiovascular Disease
154,Major Cardiovascular Disease
19429,Heart Failure
14260,Coronary Heart Disease
29675,Heart Failure
30078,Heart Failure
29254,Heart Failure
24730,Heart Failure
9374,Diseases of the Heart (Heart Disease)
3730,Major Cardiovascular Disease
13908,Coronary Heart Disease
14757,Coronary Heart Disease
23756,Heart Failure
14250,Coronary Heart Disease
